Key,ShortName
4-CR|4-2,Use Evidence
1-IT,Read Analytically: Informational Text
1-LT,Read Analytically: Literary Text
2-W,Write Effectively
3-L,Listen Purposefully
3-S,Speak Purposefully
4-CR,Conduct Research
1-IT|10-1,Word Meanings
1-IT|10-10,Word Meanings
1-IT|10-11,Word Meanings
1-IT|10-12,Word Meanings
1-IT|10-2,Word Meanings
1-IT|10-3,Word Meanings
1-IT|10-4,Word Meanings
1-IT|10-5,Word Meanings
1-IT|10-6,Word Meanings
1-IT|10-7,Word Meanings
1-IT|10-8,Word Meanings
1-IT|10-9,Word Meanings
1-IT|10-KG,Word Meanings
1-IT|11-1,Reasoning & Evidence
1-IT|11-10,Reasoning & Evaluation
1-IT|11-11,Reasoning & Evaluation
1-IT|11-12,Reasoning & Evaluation
1-IT|11-2,Reasoning & Evidence
1-IT|11-3,Reasoning & Evidence
1-IT|11-4,Reasoning & Evaluation
1-IT|11-5,Reasoning & Evidence
1-IT|11-6,Reasoning & Evidence
1-IT|11-7,Reasoning & Evidence
1-IT|11-8,Reasoning & Evaluation
1-IT|11-9,Reasoning & Evaluation
1-IT|11-KG,Reasoning & Evidence
1-IT|12-1,Analysis Within Or Across Texts
1-IT|12-10,Analysis Within Or Across Texts
1-IT|12-11,Analysis Within Or Across Texts
1-IT|12-12,Analysis Within Or Across Texts
1-IT|12-2,Analysis Within Or Across Texts
1-IT|12-3,Analysis Within Or Across Texts
1-IT|12-4,Analysis Within Or Across Texts
1-IT|12-5,Analysis Within Or Across Texts
1-IT|12-6,Analysis Within Or Across Texts
1-IT|12-7,Analysis Within Or Across Texts
1-IT|12-8,Analysis Within Or Across Texts
1-IT|12-9,Analysis Within Or Across Texts
1-IT|12-KG,Analysis Within Or Across Texts
1-IT|13-1,Text Structures/Features
1-IT|13-10,Text Structures/Features
1-IT|13-11,Text Structures/Features
1-IT|13-12,Text Structures/Features
1-IT|13-2,Text Structures/Features
1-IT|13-3,Text Structures/Features
1-IT|13-4,Text Structures/Features
1-IT|13-5,Text Structures & Features
1-IT|13-6,Text Structures & Features
1-IT|13-7,Text Structures & Features
1-IT|13-8,Text Structures/Features
1-IT|13-9,Text Structures/Features
1-IT|13-KG,Text Structures/Features
1-IT|14-1,Language Use
1-IT|14-10,Language Use
1-IT|14-11,Language Use
1-IT|14-12,Language Use
1-IT|14-2,Language Use
1-IT|14-3,Language Use
1-IT|14-4,Language Use
1-IT|14-5,Language Use
1-IT|14-6,Language Use
1-IT|14-7,Language Use
1-IT|14-8,Language Use
1-IT|14-9,Language Use
1-IT|14-KG,Language Use
1-IT|8-1,Key Details
1-IT|8-10,Key Details
1-IT|8-11,Key Details
1-IT|8-12,Key Details
1-IT|8-2,Key Details
1-IT|8-3,Key Details
1-IT|8-4,Key Details
1-IT|8-5,Key Details
1-IT|8-6,Key Details
1-IT|8-7,Key Details
1-IT|8-8,Key Details
1-IT|8-9,Key Details
1-IT|8-KG,Key Details
1-IT|9-1,Central Ideas
1-IT|9-10,Central Ideas
1-IT|9-11,Central Ideas
1-IT|9-12,Central Ideas
1-IT|9-2,Central Ideas
1-IT|9-3,Central Ideas
1-IT|9-4,Central Ideas
1-IT|9-5,Central Ideas
1-IT|9-6,Central Ideas
1-IT|9-7,Central Ideas
1-IT|9-8,Central Ideas
1-IT|9-9,Central Ideas
1-IT|9-KG,Central Ideas
1-LT|1-1,Key Details
1-LT|1-10,Key Details
1-LT|1-11,Key Details
1-LT|1-2,Key Details
1-LT|1-3,Key Details
1-LT|1-4,Key Details
1-LT|1-5,Key Details
1-LT|1-6,Key Details
1-LT|1-7,Key Details
1-LT|1-8,Key Details
1-LT|1-9,Key Details
1-LT|1-KG,Key Details
1-LT|2-1,Central Ideas
1-LT|2-10,Central Ideas
1-LT|2-11,Central Ideas
1-LT|2-2,Central Ideas
1-LT|2-3,Central Ideas
1-LT|2-4,Central Ideas
1-LT|2-5,Central Ideas
1-LT|2-6,Central Ideas
1-LT|2-7,Central Ideas
1-LT|2-8,Central Ideas
1-LT|2-9,Central Ideas
1-LT|2-KG,Central Ideas
1-LT|3-1,Word Meanings
1-LT|3-10,Word Meanings
1-LT|3-11,Word Meanings
1-LT|3-2,Word Meanings
1-LT|3-3,Word Meanings
1-LT|3-4,Word Meanings
1-LT|3-5,Word Meanings
1-LT|3-6,Word Meanings
1-LT|3-7,Word Meanings
1-LT|3-8,Word Meanings
1-LT|3-9,Word Meanings
1-LT|3-KG,Word Meanings
1-LT|4-1,Reasoning & Evidence
1-LT|4-10,Reasoning & Evaluation
1-LT|4-11,Reasoning & Evaluation
1-LT|4-2,Reasoning & Evidence
1-LT|4-3,Reasoning & Evidence
1-LT|4-4,Reasoning & Evaluation
1-LT|4-5,Reasoning & Evidence
1-LT|4-6,Reasoning & Evidence
1-LT|4-7,Reasoning & Evidence
1-LT|4-8,Reasoning & Evaluation
1-LT|4-9,Reasoning & Evaluation
1-LT|4-KG,Reasoning & Evidence
1-LT|5-1,Analysis Within Or Across Texts
1-LT|5-10,Analysis Within Or Across Texts
