Key,ShortName
1,Concepts and Procedures
1|EE,Expressions and Equations
1|EE|C-8,Understand the connections between proportional relatio
1|EE|C-8|m,Not Applicable
1|EE|C-8|m|8.EE.6,1|EE|C-8|m|8 EE 6
2,Problem Solving
3,Communicating Reasoning
4,Modeling and Data Analysis
1|A-APR,Arithmetic with Polynomials and Rational Expressions
1|A-CED,Creating Equations
1|A-REI,Reasoning with Equations and Inequalities
1|A-SSE,Seeing Structure in Expressions
1|CC,Counting and Cardinality
1|F,Functions
1|F-BF,Building Functions
1|F-IF,Interpreting Functions
1|F-LE,Linear, Quadratic, and Exponential Models
1|F-TF,Trigonometric Functions
1|G,Geometry
1|G-C,Circles
1|G-CO,Congruence
1|G-GMD,Geometric Measurement and Dimension
1|G-GPE,Expressing Geometric Properties with Equations
1|G-MG,Modeling with Geometry
1|G-SRT,Similarity, Right Triangles, and Trigonometry
1|MD,Measurement and Data
1|N-CN,The Complex Number System
1|N-Q,Quantities
1|N-RN,The Real Number System
1|N-VM,Vector and Matrix Quantities
1|NBT,Number and Operations in Base Ten
1|NF,Numbers and Operations - Fractions
1|NS,The Number System
1|OA,Operations and Algebraic Thinking
1|RP,Ratios and Proportional Relationships
1|S-CP,Conditional Probability and the Rules of Probability
1|S-IC,Making Inferences and Justifying Conclusions
1|S-ID,Interpreting Categorical and Quantitative Data
1|S-MD,Using Probability to Make Descisions
1|SP,Statistics and Probability
2|A-APR,Arithmetic with Polynomials and Rational Expressions
2|A-CED,Creating Equations
2|A-REI,Reasoning with Equations and Inequalities
2|A-SSE,Seeing Structure in Expressions
2|CC,Counting and Cardinality
2|EE,Expressions and Equations
2|F,Functions
2|F-BF,Building Functions
2|F-IF,Interpreting Functions
2|F-LE,Linear, Quadratic, and Exponential Models
2|F-TF,Trigonometric Functions
2|G,Geometry
2|G-C,Circles
2|G-CO,Congruence
2|G-GMD,Geometric Measurement and Dimension
2|G-GPE,Expressing Geometric Properties with Equations
2|G-MG,Modeling with Geometry
2|G-SRT,Similarity, Right Triangles, and Trigonometry
2|MD,Measurement and Data
2|N-CN,The Complex Number System
2|N-Q,Quantities
2|N-RN,The Real Number System
2|N-VM,Vector and Matrix Quantities
2|NBT,Number and Operations in Base Ten
2|NF,Numbers and Operations - Fractions
2|NS,The Number System
2|OA,Operations and Algebraic Thinking
2|RP,Ratios and Proportional Relationships
2|S-CP,Conditional Probability and the Rules of Probability
2|S-IC,Making Inferences and Justifying Conclusions
2|S-ID,Interpreting Categorical and Quantitative Data
2|S-MD,Using Probability to Make Descisions
2|SP,Statistics and Probability
3|A-APR,Arithmetic with Polynomials and Rational Expressions
3|A-CED,Creating Equations
3|A-REI,Reasoning with Equations and Inequalities
3|A-SSE,Seeing Structure in Expressions
3|CC,Counting and Cardinality
3|EE,Expressions and Equations
3|F,Functions
3|F-BF,Building Functions
3|F-IF,Interpreting Functions
3|F-LE,Linear, Quadratic, and Exponential Models
3|F-TF,Trigonometric Functions
3|G,Geometry
3|G-C,Circles
3|G-CO,Congruence
3|G-GMD,Geometric Measurement and Dimension
3|G-GPE,Expressing Geometric Properties with Equations
3|G-MG,Modeling with Geometry
3|G-SRT,Similarity, Right Triangles, and Trigonometry
3|MD,Measurement and Data
3|N-CN,The Complex Number System
3|N-Q,Quantities
3|N-RN,The Real Number System
3|N-VM,Vector and Matrix Quantities
3|NBT,Number and Operations in Base Ten
3|NF,Numbers and Operations - Fractions
3|NS,The Number System
3|OA,Operations and Algebraic Thinking
3|RP,Ratios and Proportional Relationships
3|S-CP,Conditional Probability and the Rules of Probability
3|S-IC,Making Inferences and Justifying Conclusions
3|S-ID,Interpreting Categorical and Quantitative Data
3|S-MD,Using Probability to Make Descisions
3|SP,Statistics and Probability
4|A-APR,Arithmetic with Polynomials and Rational Expressions
4|A-CED,Creating Equations
4|A-REI,Reasoning with Equations and Inequalities
4|A-SSE,Seeing Structure in Expressions
4|CC,Counting and Cardinality
4|EE,Expressions and Equations
4|F,Functions
4|F-BF,Building Functions
4|F-IF,Interpreting Functions
4|F-LE,Linear, Quadratic, and Exponential Models
4|F-TF,Trigonometric Functions
4|G,Geometry
4|G-C,Circles
4|G-CO,Congruence
4|G-GMD,Geometric Measurement and Dimension
4|G-GPE,Expressing Geometric Properties with Equations
4|G-MG,Modeling with Geometry
4|G-SRT,Similarity, Right Triangles, and Trigonometry
4|MD,Measurement and Data
4|N-CN,The Complex Number System
4|N-Q,Quantities
4|N-RN,The Real Number System
4|N-VM,Vector and Matrix Quantities
4|NBT,Number and Operations in Base Ten
4|NF,Numbers and Operations - Fractions
4|NS,The Number System
4|OA,Operations and Algebraic Thinking
4|RP,Ratios and Proportional Relationships
4|S-CP,Conditional Probability and the Rules of Probability
4|S-IC,Making Inferences and Justifying Conclusions
4|S-ID,Interpreting Categorical and Quantitative Data
4|S-MD,Using Probability to Make Descisions
4|SP,Statistics and Probability
1|A-APR|F,Algebra: Perform arithmetic operations on polynomials
1|A-APR|X,Algebra: Understand the relationship between zeros and
1|A-APR|XX,Algebra: Use polynomial identities to solve problems
1|A-APR|XXX,Algebra: Rewrite rational expressions
1|A-CED|G,Algebra: Create equations that describe numbers or rela
1|A-REI|H,Algebra: Understand solving equations as a process of r
1|A-REI|I,Algebra: Solve equations and inequalities in one variab
1|A-REI|J,Algebra: Represent and solve equations and inequalities
1|A-REI|X,Algebra: Solve systems of equations
1|A-SSE|D,Algebra: Interpret the structure of expressions
1|A-SSE|E,Algebra: Write expressions in equivalent forms to solve
1|CC|A-KG,Know number names and the count sequence
1|CC|B-KG,Count to tell the number of objects
1|CC|C-KG,Compare Numbers
1|EE|B-8,Work with radicals and integer exponents
1|EE|C-7,Use properties of operations to generate equivalent exp
1|EE|D-7,Solve real-life and mathematical problems using numeric
1|EE|D-8,Analyze and solve linear equations and pairs of simulta
1|EE|E-6,Apply and extend previous understandings of arithmetic
1|EE|F-6,Reason about and solve one-variable equations and inequ
1|EE|G-6,Represent and analyze quantitative relationships betwee
1|F-BF|N,Functions: Build a function that models a relationship
1|F-BF|X,Functions: Build new functions from existing functions
1|F-IF|K,Functions: Understand the concept of a function and use
1|F-IF|L,Functions: Interpret functions that arise in applicatio
1|F-IF|M,Functions: Analyze functions using different representa
1|F-LE|X,Functions: Construct and compare linear and exponential
1|F-LE|XX,Functions: Interpret expressions for functions in terms
1|F-TF|X,Functions: Extend the domain of trigonometric functions
1|F-TF|XX,Functions: Model periodic phenomena with trigonometric
1|F-TF|XXX,Functions: Prove and apply trigonometric identities
1|F|E-8,Define, evaluate, and compare functions
1|F|F-8,Use functions to model relationships between quantities
1|G-C|X,Geometry: Understand and apply theorems about circles
1|G-C|XX,Geometry: Find arc lengths and areas of sectors of circ
1|G-CO|O,Geometry: Prove geometric theorems
1|G-CO|X,Geometry: Experiment with transformations in the place
1|G-CO|XX,Geometry: Understand congruence in terms of rigid motio
1|G-CO|XXX,Geometry: Make geometric constructions
1|G-GMD|X,Geometry: Explain volume formulas and use them to solve
1|G-GMD|XX,Geometry: Visualize relationships between two-dimension
1|G-GPE|X,Geometry: Translate between the geometric description a
1|G-GPE|XX,Geometry: Use coordinates to prove simple geometric the
1|G-MG|X,Geometry: Apply geometric concepts in modeling situatio
1|G-SRT|P,Geometry: Define trigonometric ratios and solve problem
1|G-SRT|X,Geometry: Understand similarity in terms of similarity
1|G-SRT|XX,Geometry: Prove theorems involving similarity
1|G-SRT|XXXX,Geometry: Apply trigonometry to general triangles
1|G|E-7,Draw, construct, and describe geometrical figures and d
1|G|F-7,Solve real-life and mathematical problems involving ang
1|G|G-8,Understand congruence and similarity using physical mod
1|G|H-6,Solve real-world and mathematical problems involving ar
1|G|H-8,Understand and apply the Pythagorean Theorem
1|G|H-KG,Identify and describe shapes (squares, circles, triangl
1|G|I-8,Solve real-world and mathematical problems involving vo
1|G|I-KG,Analyze, compare, create, and compose shapes
1|G|J-2,Reason with shapes and their attributes
1|G|J-5,Graph points on the coordinate plane to solve real-worl
